F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,Class
1,0.760188292,0.760727308,1,1,0.619947508,0.760189985,0.619946439,0.760203589,0.620021066,0.760234814,0.619985564,0.760227874,0.760197438,1,1,1,0.760261395,0.760297772,1,1,0.620014974,0.760277506,0.620069705,0.760240178,0.620108045,0.760204269,0.619993189,0.760196386,0.760209631,1,1,1,0.76060776,0.761197239,1,1,0.620647269,0.760342219,0.62042645,0.760374075,0.620737238,0.760360106,0.62072962,0.760200951,0.760300271,1,1,1,0.760261395,0.760297772,1,0.760256525,1,0.760277506,1,0.760240178,1,1,1,0.760196386,0.760209631,1,0.620044183,1,0.76060776,0.761197239,1,0.760229794,1,0.760342219,1,0.760374075,1,1,1,0.760200951,0.760300271,1,0.620374707,C
0.760192952,0.760200415,1,0.760203178,0.760205519,0.760193762,0.760197874,1,0.760196791,1,0.760199543,1,0.760194429,0.760205072,0.76019745,0.760197971,0.760201347,0.760218538,1,0.76020124,0.760199655,0.760200251,0.760202662,1,0.76020719,1,0.760211817,1,0.760197487,0.760206187,0.760210703,0.760214383,0.760288378,0.760265539,1,0.760232034,0.760315688,0.760275626,0.760270316,1,0.760261127,1,0.760408425,1,0.760219164,0.760309573,0.760312167,0.760298195,0.760201347,0.760218538,1,0.76020124,0.760199655,0.760200251,0.760202662,0.760214855,0.76020719,1,0.760211817,0.760191202,0.760197487,0.760206187,0.760210703,0.760214383,0.760288378,0.760265539,1,0.760232034,0.760315688,0.760275626,0.760270316,0.760305365,0.760261127,1,0.760408425,0.760188903,0.760219164,0.760309573,0.760312167,0.760298195,C
0.760189673,1,1,0.760193295,1,1,1,1,1,0.760192393,1,1,0.619956293,1,0.760210637,1,0.760187736,1,1,0.760204033,1,1,1,1,1,0.760267474,1,1,0.620039695,1,0.760230111,1,0.760289306,1,1,0.760453427,1,1,1,1,1,0.760349596,1,1,0.620784532,1,0.760274573,1,0.760187736,1,0.620016193,0.760204033,1,0.620175152,1,1,0.620019472,0.760267474,1,1,1,1,0.760230111,1,0.760289306,1,0.620430467,0.760453427,1,0.620498274,1,1,0.620082123,0.760349596,1,1,1,1,0.760274573,1,C
0.76019425,0.760202179,1,0.760188317,0.760199196,0.760199936,0.760201075,0.620025049,0.760199124,0.760197844,1,0.760188442,0.760195162,1,0.760204659,1,0.760204454,0.760221262,1,0.760192084,0.760215758,0.76020198,0.760415565,0.620113324,0.760202632,0.760209086,1,0.760201881,0.760212353,1,0.760216321,1,0.760259056,0.760391453,1,0.760212576,0.760229519,0.760247899,0.760187916,0.619969047,0.760338516,0.760219986,1,0.760423812,0.760260671,1,0.76025289,1,0.760204454,0.760221262,1,0.760192084,0.760215758,0.76020198,0.760415565,1,0.760202632,0.760209086,1,0.760201881,0.760212353,1,0.760216321,1,0.760259056,0.760391453,1,0.760212576,0.760229519,0.760247899,0.760187916,1,0.760338516,0.760219986,1,0.760423812,0.760260671,1,0.76025289,1,C
1,0.760192509,0.61992664,1,1,1,0.760204899,0.619962112,1,0.760207135,1,0.76019924,1,0.620059201,0.760189335,0.760198365,1,0.760219076,0.620065512,1,1,1,0.760207378,0.619989449,1,0.760213167,1,0.762225108,1,0.620143491,0.760357714,0.760216984,1,0.760250395,0.620966821,1,1,1,0.760205575,0.621425938,1,0.760276278,1,0.765160509,1,0.620174072,0.760187584,0.760210622,1,0.760219076,1,1,1,1,0.760207378,1,1,0.760213167,1,0.762225108,1,1,0.760357714,0.760216984,1,0.760250395,1,1,1,1,0.760205575,1,1,0.760276278,1,0.765160509,1,1,0.760187584,0.760210622,C
1,0.760196009,0.760193175,1,0.760193917,0.619927573,0.760194932,1,0.760283012,0.760201892,0.619953047,1,1,0.760197755,1,1,1,0.760201627,0.760194455,1,0.760207055,0.619980473,0.760194392,1,0.760201249,0.760205233,0.620245517,1,1,0.760204964,1,1,1,0.760277355,0.760191515,1,0.76028981,0.621227056,0.760187575,1,0.760260183,0.760324788,0.619955426,1,1,0.760288327,1,1,1,0.760201627,0.760194455,1,0.760207055,1,0.760194392,1,0.760201249,0.760205233,1,1,1,0.760204964,0.760194953,1,1,0.760277355,0.760191515,1,0.76028981,1,0.760187575,1,0.760260183,0.760324788,1,1,1,0.760288327,0.760201272,1,C
0.760200701,1,1,0.760196328,1,1,0.620042555,0.760198618,0.760197182,1,1,0.760197864,1,1,0.760190861,0.760192662,0.760200615,1,1,0.760203986,1,1,0.619928833,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,1,1,0.76026727,1,1,0.619911466,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,0.760200615,0.619978002,1,0.760203986,1,1,1,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,0.619965175,1,0.76026727,1,1,1,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,T1
0.76018843,1,0.760196833,1,0.76023982,0.760203923,1,0.760191343,1,0.760187536,0.760199612,0.760229311,0.760200867,0.760187598,0.760191718,1,0.760273588,1,0.760219374,1,0.76019211,0.760210721,1,0.760194184,1,0.76038844,0.760283237,0.76084194,0.760225767,0.76057664,0.760214979,1,0.760236151,1,0.76018792,1,0.760207639,0.76048792,1,0.760275695,1,0.760216924,0.760240845,0.760208721,0.76021453,0.760250812,0.760243457,1,0.760273588,0.760237836,0.760219374,1,0.76019211,0.760210721,1,0.760194184,0.760259635,0.76038844,0.760283237,1,0.760225767,0.76057664,0.760214979,1,0.760236151,0.760207156,0.76018792,1,0.760207639,0.76048792,1,0.760275695,0.760208899,0.760216924,0.760240845,1,0.76021453,0.760250812,0.760243457,1,T2
0.760238787,1,0.760189139,1,0.760242798,1,1,0.760188052,0.619971556,0.761439068,1,0.620047282,0.760215153,0.7601977,1,1,0.760188223,1,0.760443586,1,0.760188141,1,1,0.76022611,0.620092364,0.76040886,1,0.620065581,0.760208068,0.760199195,1,1,0.760203647,1,0.760617603,1,0.760237806,1,1,0.760216825,0.620069362,0.760225384,1,0.620761588,0.76034462,0.760351703,1,1,0.760188223,1,0.760443586,1,0.760188141,1,0.760241083,0.76022611,1,1,1,1,0.760208068,0.760199195,0.760343338,1,0.760203647,1,0.760617603,1,0.760237806,1,0.760224867,0.760216825,1,1,1,1,0.76034462,0.760351703,0.760210263,1,T3
0.760195214,0.76019667,1,1,1,0.76019593,0.760193454,0.619939836,0.76019368,0.760192104,1,1,0.760187545,0.620058886,0.619960576,0.760194789,0.760228897,0.760236309,1,1,1,0.760191549,0.760305309,0.61995827,0.760246151,0.76022251,1,1,0.760256326,0.619966269,0.620025382,0.760207337,0.760315527,0.760310793,1,1,1,0.761586238,0.76019407,0.619935759,0.760229539,0.760202208,1,1,0.760246415,0.620054774,0.619913053,0.760264294,1,0.760236309,1,1,1,0.760191549,0.760305309,1,0.760246151,0.76022251,1,0.760240318,0.760256326,1,0.620025382,0.760207337,1,0.760310793,1,1,1,0.761586238,0.76019407,1,0.760229539,0.760202208,1,0.761708702,0.760246415,1,0.619913053,0.760264294,T1
1,1,0.760201828,0.760200951,1,1,1,0.760197303,0.619986447,0.619936391,0.619986424,0.764678747,1,1,1,1,1,1,0.760681964,0.760190705,1,1,1,0.760201615,0.620007306,0.619922785,0.620193697,0.760225274,1,1,1,1,1,1,0.760360996,0.760565002,1,1,1,0.760731488,0.619912068,0.620099211,0.619915177,0.760245618,1,1,1,1,1,1,0.760681964,0.760190705,1,1,1,0.760201615,1,1,1,0.760225274,1,0.760190413,1,0.760190534,1,1,0.760360996,0.760565002,1,1,1,0.760731488,1,1,1,0.760245618,1,0.760193316,1,0.760214798,T2
0.760391048,1,1,0.760187753,1,0.760223843,1,1,0.76019539,1,1,1,0.760198067,1,1,1,0.76037912,1,1,0.760188585,1,0.760296897,1,1,0.760229688,1,1,1,0.760422428,1,1,1,0.76021434,1,1,0.761840726,1,0.760189855,1,1,0.760187604,1,1,1,0.760206932,1,1,1,0.76037912,1,1,0.760188585,0.760201092,0.760296897,0.760190661,1,0.760229688,1,0.796809295,1,0.760422428,1,0.760196922,1,0.76021434,1,1,0.761840726,0.760216988,0.760189855,0.760316174,1,0.760187604,1,0.760226475,1,0.760206932,1,0.760281016,1,T3
